#{"t_start": 1783788819.1315625, "env_id": "LunarLander-v3"}
r,l,t
-94.835077,77,2.273791
-107.936652,111,2.379702
-107.781404,112,2.471248
-145.531185,97,2.555751
-78.962908,72,2.620452
-485.67348,95,2.704981
-317.377047,112,2.805795
-158.165136,76,2.869196
-225.319231,74,2.932005
-58.840063,61,2.984266
-119.031184,125,3.092531
-126.358961,125,3.208482
-222.580417,106,3.305049
-206.711148,97,3.387659
-93.054609,140,3.519583
-70.128618,78,3.580229
-245.056734,84,3.641918
-110.395974,79,3.706284
-57.78958,80,3.770763
-417.601276,128,3.885345
-141.997739,84,3.954046
-428.619428,100,5.323302
-88.647518,111,5.430491
-366.750085,123,5.555299
-119.504471,96,5.637531
-293.692057,96,5.727463
-95.66212,110,5.814337
-223.10325,98,5.899835
-260.547454,83,5.968463
-151.218031,77,6.033437
-136.813233,101,6.114532
-284.799815,102,6.205139
-79.083395,105,6.29273
-81.963788,73,6.350334
-389.104286,110,6.442722
-111.649197,87,6.511017
-204.535713,114,6.598705
-103.511512,72,6.659136
-107.019563,75,6.716383
-124.804695,92,6.793664
-91.823744,143,6.908483
-278.888368,70,6.963554
-215.211051,92,8.299875
-210.369499,102,8.391601
-121.738031,90,8.468621
-297.824362,129,8.569712
-130.57497,60,8.622435
-38.083799,129,8.733086
-170.550181,118,8.826322
-79.926502,77,8.899522
-73.664262,112,8.996909
-157.495418,102,9.106557
-111.071001,83,9.178081
-166.373029,130,9.308018
-282.754973,105,9.381802
-161.00606,68,9.434855
-319.179023,70,9.500588
-85.781222,80,9.571154
-85.790488,91,9.657233
-208.299542,117,9.752872
9.947479,76,9.82706
-272.305495,119,9.920483
-136.835998,59,9.959036
-103.513424,103,11.416265
-167.269622,145,11.524427
-142.85977,83,11.590889
-112.248808,72,11.642076
-284.080631,129,11.736373
-48.953045,66,11.78487
-139.238942,99,11.887328
-256.585551,151,12.024365
-137.18587,82,12.107997
-182.310464,69,12.174093
-287.264792,94,12.265918
-24.89292,72,12.351547
-239.511455,91,12.430542
-144.702341,90,12.525172
