item_id,year,title
3,1997,Character
8,2004,What the #$*! Do We Know!?
16,1996,Screamers
17,2005,7 Seconds
18,1994,Immortal Beloved
26,2004,Never Die Alone
28,2002,Lilo and Stitch
30,2003,Something's Gotta Give
32,2004,ABC Primetime: Mel Gibson's The Passion of the Christ
33,2000,Aqua Teen Hunger Force: Vol. 1
44,1996,Spitfire Grill
45,1999,The Love Letter
46,1964,Rudolph the Red-Nosed Reindeer
47,1952,The Bad and the Beautiful
48,2001,Justice League
52,2002,The Weather Underground
55,1995,Jade
56,2004,Carandiru
57,1995,Richard III
58,1996,Dragonheart
68,2004,Invader Zim
76,1952,I Love Lucy: Season 2
77,1995,Congo
78,1996,Jingle All the Way
79,1956,The Killing
83,1983,Silkwood
84,2002,The Powerpuff Girls Movie
97,2002,Mostly Martha
104,1965,The Great Race
108,2004,Spartan
110,1989,Scandal
111,2003,Duplex (Widescreen)
118,1985,Rambo: First Blood Part II
122,2002,Cube 2: Hypercube
127,1987,Fatal Beauty
133,2003,Viva La Bam: Season 1
138,1995,Star Trek: Voyager: Season 1
143,1997,The Game
148,2001,Sweet November
152,1995,A Little Princess
156,1992,Husbands and Wives
165,1982,Richard Pryor: Live on the Sunset Strip
166,1980,Fame
167,2004,The Chorus
171,1957,Funny Face
173,1968,The Devil's Brigade
175,1992,Reservoir Dogs
178,1996,Regular Guys
180,2002,Scratch
181,2004,The Last Shot
185,1985,Missing in Action 2: The Beginning / Missing in Action 3: Braddock
187,2002,Death to Smoochy
188,2005,Dead Birds
189,1982,Airplane II: The Sequel
191,2003,X2: X-Men United
197,2004,Taking Lives
199,1978,The Deer Hunter
201,2001,Home Movie
208,1947,The Three Stooges: Sing a Song of Six Pants
209,1996,Star Trek: Deep Space Nine: Season 5
213,2001,Dinner Rush
215,1998,That '70s Show: Season 1
216,2000,Impostor
223,2003,Chappelle's Show: Season 1
225,2004,The Cookout
232,1989,Gross Anatomy
238,1976,Led Zeppelin: The Song Remains the Same
239,2004,Winnie the Pooh: Springtime with Roo
240,1942,Woman of the Year
241,1959,North by Northwest
242,1995,Neon Genesis Evangelion: The End of Evangelion
248,2001,Michael Moore's The Awful Truth: Season 2
252,2002,Stuart Little 2
253,1935,A Night at the Opera
255,2001,The Hunchback of Notre Dame II
256,2000,Ghost Dog: The Way of the Samurai
257,1973,Charlotte's Web
262,1974,Herbie Rides Again
268,1980,The Final Countdown
269,1989,Parenthood
270,2001,Sex and the City: Season 4
273,2004,Taxi
275,2002,Evelyn
281,1993,The Legend
283,1996,If These Walls Could Talk
285,1997,The Devil's Own
289,1998,The Avengers
290,2004,Harold and Kumar Go to White Castle
295,1995,Ace Ventura: When Nature Calls
297,2003,The Hebrew Hammer
299,2001,Bridget Jones's Diary
